Date,Exchange_Rate,ICO_Composite_Price,Rainfall,Temperature,Average_Relative_Humidity,Export_Price_Robusta,Total_Export_Volume,Exchange_Rate_minmax,ICO_Composite_Price_minmax,Rainfall_minmax,Temperature_minmax,Average_Relative_Humidity_minmax,Export_Price_Robusta_minmax,Total_Export_Volume_minmax,Exchange_Rate_zscore,ICO_Composite_Price_zscore,Rainfall_zscore,Temperature_zscore,Average_Relative_Humidity_zscore,Export_Price_Robusta_zscore,Total_Export_Volume_zscore,Rainfall_bin,Temperature_bin,Export_Value_bin,Set
1994-01-01,1112.71,69.17,59.93845,22.3,70.28,1.3,250434.0,0.0648286290322581,0.0894140188408111,0.1068784263677873,0.2272727272727275,0.8264128012963341,0.2031602708803611,0.1496787490971829,-1.210943209432448,-1.0111662362781957,-0.985965586566364,-0.97237843784625,1.0406209430499116,-0.3145300237083666,-0.4933004195183256,Low,Low,Low,Train
1994-02-01,1047.22,72.37,88.70426,22.6,65.63,1.3,250434.0,0.0428225806451613,0.0996327638511895,0.1655116811449631,0.2954545454545458,0.7322260482074134,0.2031602708803611,0.1496787490971829,-1.277611617211216,-0.9420388374971156,-0.5983392905259323,-0.6379833183795379,0.6113068685632994,-0.3145300237083666,-0.4933004195183256,Low,Low,Low,Train
1994-03-01,1079.22,76.11,169.61,23.4,69.65,1.3,250434.0,0.0535752688172043,0.1115759220820692,0.3304215816955105,0.4772727272727266,0.8136520153939644,0.2031602708803611,0.1496787490971829,-1.2450358186324928,-0.8612461901717285,0.4918852616285244,0.2537370001983554,0.9824558103775324,-0.3145300237083666,-0.4933004195183256,High,Medium,Low,Train
1994-04-01,1007.03,81.19,187.3833,22.2,78.74,1.3,250434.0,0.029317876344086,0.127798179786045,0.366648839927807,0.2045454545454541,0.997771926271015,0.2031602708803611,0.1496787490971829,-1.3185247842386811,-0.7515064446067641,0.731384808048924,-1.0838434776684889,1.8216955817932947,-0.3145300237083666,-0.4933004195183256,High,Low,Low,Train
1994-05-01,965.71,108.42,215.9971,21.7,63.9,1.3,250434.0,0.0154334677419354,0.2147533131087338,0.4249722532279419,0.0909090909090908,0.6971845250151916,0.2031602708803611,0.1496787490971829,-1.3605882841534576,-0.1632754856040115,1.1169627323153255,-1.641168676779674,0.4515835677327968,-0.3145300237083666,-0.4933004195183256,High,Low,Low,Train
1994-06-01,962.59,127.91,86.93786,21.5,54.54,1.3,250434.0,0.0143850806451613,0.2769918569375699,0.1619112339043534,0.0454545454545449,0.507595705894268,0.2031602708803611,0.1496787490971829,-1.3637644245148828,0.2577535775970036,-0.6221419607558274,-1.8640987564241476,-0.4125841176854149,-0.3145300237083666,-0.4933004195183256,Low,Low,Low,Train
1994-07-01,967.07,191.44,104.9846,21.5,50.01,1.3,250434.0,0.0158904569892473,0.4798658789717387,0.198695843978516,0.0454545454545449,0.4158395786915132,0.2031602708803611,0.1496787490971829,-1.3592038127138617,1.6301484665226322,-0.378957743735528,-1.8640987564241476,-0.8308191192820495,-0.3145300237083666,-0.4933004195183256,Medium,Low,Low,Train
1994-08-01,921.38,181.53,121.3022,22.0,43.89,1.3,250434.0,0.0005376344086021,0.448219703017723,0.2319559537460506,0.1590909090909091,0.2918776584970631,0.2031602708803611,0.1496787490971829,-1.405715945122045,1.4160695534224752,-0.1590741093699618,-1.306773557312962,-1.39585183667088,-0.3145300237083666,-0.4933004195183256,Medium,Low,Low,Train
1994-09-01,920.79,202.39,139.5468,22.0,56.34,1.3,250434.0,0.0003393817204301,0.5148331470541273,0.2691438611996444,0.1590909090909091,0.5440550941867532,0.2031602708803611,0.1496787490971829,-1.4063165614083402,1.86669378422664,0.0867763193417363,-1.306773557312962,-0.2463980243357584,-0.3145300237083666,-0.4933004195183256,Medium,Low,Low,Train
1994-10-01,919.78,185.64,131.8231,22.8,60.26,1.3,250434.0,0.0,0.4613444036404278,0.2534006691976645,0.3409090909090908,0.6234555398014991,0.2031602708803611,0.1496787490971829,-1.4073447350509811,1.5048550562319245,-0.017302419366733,-0.4150532387350646,0.1155183567368255,-0.3145300237083666,-0.4933004195183256,Medium,Medium,Low,Train
1994-11-01,920.14,168.12,281.5123,22.7,70.07,1.3,250434.0,0.0001209677419354,0.4053967747086061,0.5585116673232734,0.3181818181818183,0.822159205995544,0.2031602708803611,0.1496787490971829,-1.406978257316971,1.126382547905512,1.999796009401842,-0.5265182785573033,1.021232565492451,-0.3145300237083666,-0.4933004195183256,High,Low,Low,Train
1994-12-01,929.75,149.14,129.9981,22.6,64.73,1.3,250434.0,0.0033501344086021,0.3447868433657991,0.2496807777721025,0.2954545454545458,0.7139963540611711,0.2031602708803611,0.1496787490971829,-1.3971953378062978,0.716370663885231,-0.0418947388694271,-0.6379833183795379,0.5282138218884721,-0.3145300237083666,-0.4933004195183256,Medium,Low,Low,Train
1995-01-01,925.04,152.08,27.14896,23.0,60.57,2.47,232646.0,0.0017674731182795,0.3541753153440843,0.0400437180392661,0.3863636363636367,0.6297346566740938,0.4672686230248308,0.1239323600036474,-1.4019900881596037,0.7798814615153488,-1.42781195062685,-0.1921231590905912,0.1441392950359331,1.3043939382683998,-0.6482623348314832,Low,Medium,High,Train
1995-02-01,925.53,152.24,91.49809,23.8,72.39,2.47,232646.0,0.0019321236559139,0.3546862525946033,0.171206335534814,0.5681818181818183,0.869151306461414,0.4672686230248308,0.1239323600036474,-1.4014912712438667,0.7833378314544026,-0.5606917508019809,0.699597159487306,1.235427974698675,1.3043939382683998,-0.6482623348314832,Low,High,High,Train
1995-03-01,927.04,162.73,180.6191,23.2,70.55,2.47,232646.0,0.0024395161290322,0.3881845760817499,0.3528613935821706,0.4318181818181816,0.8318817095402069,0.4672686230248308,0.1239323600036474,-1.3999541007484333,1.00994608558363,0.6402355655392682,0.030806920553882,1.0655488570523597,1.3043939382683998,-0.6482623348314832,High,Medium,High,Train
1995-04-01,928.83,159.59,273.3623,23.1,69.91,2.47,232646.0,0.0030409946236559,0.3781574325403161,0.5418995494502157,0.4090909090909091,0.8189183714806565,0.4672686230248308,0.1239323600036474,-1.398131892015436,0.9421148255296956,1.8899727743624144,-0.0806581192683526,1.0064604683058151,1.3043939382683998,-0.6482623348314832,High,Medium,High,Train
1995-05-01,941.02,155.96,170.3977,23.0,65.36,2.47,232646.0,0.0071370967741935,0.3665655436691681,0.3320271479836832,0.3863636363636367,0.7267571399635409,0.4672686230248308,0.1239323600036474,-1.3857225487443536,0.8636984325374081,0.5024997109831937,-0.1921231590905912,0.5863789545608513,1.3043939382683998,-0.6482623348314832,High,Medium,High,Train
