Month,Year,Robusta_Kiboko_Price,FAQ_Price,Arabica_Parchment_Price,Drugar_Price,Rainfall,Temperature,Average_Relative_Humidity,Exchange_Rate,Average-Export-Price,Export_Price_Robusta,Export_Price_Arabica,Total_Export_Volume,Export_Value,Robusta_Export_Volume,Robusta_Export_Value,Arabica_Export_Volume,Arabica_Export_Value,ICO_Composite_Price,Top_Importing_Country,Top_Exporter_in_Uganda
December,2023,4050,8750,10250,9250,121.948,24.2,54.27,3780.65740740741,2.74,2.61,3.39,401336,65.94,337026,52843493,64310,13096376,175.73,Itally,Louis Dreyfus Company
January,2024,4250,9750,10500,9750,160.3873,23.8,54.71,3805.03362433863,2.96,2.82,3.71,481586,85.57,403508,68167263,78078,17399152,176.41,Itally,Ugacof (U) Ltd
February,2024,5250,10500,11500,10500,124.60,25.30,53.83,3873.58773611111,3.17,3.07,3.75,434582,82.56,372407,68583029,62175,13981373,176.41,Itally,Olam Uganda Ltd
March,2024,5100,10750,11500,10500,82.0815,25.5,64.07,3895.7797368421,3.27,3.13,3.67,329686,64.74,244975,46011274,84711,18723744,176.41,Itally,Kyagalanyi (U) Ltd
April,2024,5750,12250,12750,11750,237.5418,24.3,64.70,3822.6875,3.62,3.53,3.85,390977,84.80,290037,61489234,100940,23314795,176.41,Itally,Olam Uganda Ltd
May,2024,5400,10500,11500,10500,49.83354,21.6,64.04,3791.40079365079,3.83,3.80,4.05,553529,127.3,437693,107916091,79836,19384753,176.41,Itally,Ugacof (U) Ltd
June,2024,5650,12250,12750,11500,45.41605,22.5,68.36,3747.19011695906,4.06,4.07,3.94,667037,162.36,614486,149949090,52551,12415084,176.41,Itally,Ugacof (U) Ltd
July,2024,5900,12000,12750,11000,123.3344,22.8,62.65,3705.85480676329,4.27,4.27,4.23,821593,210.48,722444,197997569,49149,12481044,176.41,Itally,Ugacof (U) Ltd
August,2024,6250,12500,12750,11500,94.13236,23.0,56.56,3723.64728650138,4.41,4.42,4.30,837915,221.63,785667,208138678,52248,13494978,176.41,Itally,Ugacof (U) Ltd
September,2024,6750,12750,12750,11500,85.91017,23.0,62.16,3711.31308802309,4.53,4.53,4.53,532212,144.71,504576,137195402,27636,7512674,176.41,Itally,Olam Uganda Ltd
October,2024,6500,12500,12500,11500,163.5158,23.1,76.18,3667.92606749311,4.66,4.64,4.96,496820,139.04,457853,127457821,38967,11589391,176.41,Itally,Ugacof (U) Ltd
November,2024,6500,12500,12500,11500,334.4308,23.3,74.96,3678.64754689755,4.53,4.64,4.99,400536,108.91,342982,91662754,57554,17248140,176.41,Itally,Ugacof (U) Ltd
December,2024,6500,12500,12500,11500,90.15173,23.2,64.41,3664.08171212121,4.64,4.55,5.33,413079,114.03,365853,99910582,47226,15115114,176.41,Itally,Ugacof (U) Ltd
January,2025,7000,13000,13250,13000,63.85384,24.5,58.74,3688.95898760331,4.47,4.65,5.40,550341,156.50,485999,135665270,64342,20834040,310.12,Itally,Ugacof (U) Ltd
February,2025,7750,15500,14500,13250,19.85459,23.6,50.24,3677.71232954546,5.03,4.83,5.06,555756,167.78,466691,135316273,89065,32358897,354.32,Itally,Ugacof (U) Ltd
