Date,Exchange_Rate,ICO_Composite_Price,Rainfall,Temperature,Average_Relative_Humidity,Export_Price_Robusta,Total_Export_Volume,Exchange_Rate_minmax,ICO_Composite_Price_minmax,Rainfall_minmax,Temperature_minmax,Average_Relative_Humidity_minmax,Export_Price_Robusta_minmax,Total_Export_Volume_minmax,Exchange_Rate_zscore,ICO_Composite_Price_zscore,Rainfall_zscore,Temperature_zscore,Average_Relative_Humidity_zscore,Export_Price_Robusta_zscore,Total_Export_Volume_zscore,Rainfall_bin,Temperature_bin,Export_Value_bin,Set,Robusta_Kiboko_Price
2003-06-01,1998.231,48.9,108.276,22.3,59.96,0.61,221991.0,0.3623825462857446,0.024684908575069,0.2054046936432255,0.2272727272727275,0.617378975086085,0.0474040632054175,0.1085102903054452,-0.3094881657207242,-1.449046270087762,-0.3346054817571798,-0.97237843784625,0.0878206745118831,-1.2692800525664596,-0.7410844175648817,Medium,Low,Low,Train,500.0
2003-07-01,1995.277,50.89,105.5043,21.9,48.22,0.61,221991.0,0.3613899383375523,0.0310397556726612,0.1997551467587158,0.1363636363636358,0.3795827425562084,0.0474040632054175,0.1085102903054452,-0.3124953190480162,-1.406057560483659,-0.3719548149787493,-1.4182385971352005,-0.9960819565575408,-1.2692800525664596,-0.7410844175648817,Medium,Low,Low,Train,500.0
2003-08-01,1998.491,52.22,129.6286,21.9,47.49,0.61,221991.0,0.3624699119142246,0.0352869650393936,0.2489276271519682,0.1363636363636358,0.3647964350820337,0.0474040632054175,0.1085102903054452,-0.3092234873642259,-1.377326412858806,-0.0468739911388275,-1.4182385971352005,-1.0634796499715675,-1.2692800525664596,-0.7410844175648817,Medium,Low,Low,Train,537.0
2003-09-01,1993.546,54.1,87.46956,22.5,53.16,0.61,221991.0,0.360808284864864,0.0412905391818425,0.1629949962446116,0.2727272727272725,0.4796435082033625,0.0474040632054175,0.1085102903054452,-0.3142574661060874,-1.336713963584578,-0.6149773332254462,-0.7494483582017766,-0.5399934559201515,-1.2692800525664596,-0.7410844175648817,Low,Low,Low,Train,525.0
2003-10-01,1990.729,51.72,176.8496,23.4,68.72,0.61,221991.0,0.3598617118824476,0.0336902697887424,0.3451780342787975,0.4772727272727266,0.79481466477618,0.0474040632054175,0.1085102903054452,-0.3171251542993785,-1.38812759617642,0.5894404960191396,0.2537370001983554,0.8965929954802093,-1.2692800525664596,-0.7410844175648817,High,Medium,Low,Train,525.0
2003-11-01,1974.488,49.8,188.0626,23.0,71.06,0.61,221991.0,0.3544043842972775,0.0275589600262413,0.3680334548567848,0.3863636363636367,0.8422118695564111,0.0474040632054175,0.1085102903054452,-0.3336583896374115,-1.4296041401160573,0.7405384046721177,-0.1921231590905912,1.112634916834763,-1.2692800525664596,-0.7410844175648817,High,Medium,Low,Train,425.0
2003-12-01,1943.161,52.44,192.6629,23.0,69.99,0.61,221991.0,0.3438778341303773,0.0359895109496802,0.377410231034874,0.3863636363636367,0.8205387887381002,0.0474040632054175,0.1085102903054452,-0.3655490776144181,-1.372573892199056,0.8025285686939045,-0.1921231590905912,1.013846516899133,-1.2692800525664596,-0.7410844175648817,High,Medium,Low,Train,500.0
2004-01-01,1938.1585,58.68,132.9757,23.8,67.81,0.7,210254.0,0.3421968858362566,0.0559162676778084,0.2557500099412824,0.5681818181818183,0.776382418472757,0.0677200902934537,0.0915221315022731,-0.370641590992813,-1.237775124395235,-0.0017710026386597,0.699597159487306,0.8125766927312168,-1.1447474401067084,-0.8433324499479788,Medium,High,Low,Train,600.0
2004-02-01,1865.064,59.87,76.20211,24.9,64.95,0.7,210254.0,0.3176355514865108,0.0597164023743585,0.140028590412859,0.8181818181818183,0.7184525015191414,0.0677200902934537,0.0915221315022731,-0.4450513299507503,-1.212068308099314,-0.7668089689029634,1.9257125975319116,0.5485254555200966,-1.1447474401067084,-0.8433324499479788,Low,High,Low,Train,500.0
2004-03-01,1926.65068181818,60.8,158.2904,24.2,66.14,0.7,210254.0,0.3383300098059154,0.0626862555405699,0.307348878692337,0.6590909090909092,0.7425562082236179,0.0677200902934537,0.0915221315022731,-0.3823564771591407,-1.1919781071285522,0.339350751412669,1.145457318776253,0.6583929283457024,-1.1447474401067084,-0.8433324499479788,High,High,Low,Train,600.0
2004-04-01,1918.78225,58.8,243.8479,23.4,75.15,0.7,210254.0,0.3356860463791939,0.0562994745379647,0.4817404461676912,0.4772727272727266,0.925055701843225,0.0677200902934537,0.0915221315022731,-0.3903664910124279,-1.2351828403990075,1.4922589222480551,0.2537370001983554,1.4902466511681485,-1.1447474401067084,-0.8433324499479788,High,Medium,Low,Train,575.0
2004-05-01,1855.53473809524,59.91,59.55559,22.9,60.09,0.7,210254.0,0.3144335131970485,0.0598441379944106,0.1060980441041212,0.3636363636363633,0.6200121531294311,0.0677200902934537,0.0915221315022731,-0.4547520583338025,-1.211204213433905,-0.9911248842110856,-0.3035881989128299,0.0998230034760251,-1.1447474401067084,-0.8433324499479788,Low,Medium,Low,Train,500.0
2004-06-01,1818.6645,64.28,41.64307,22.2,50.96,0.7,210254.0,0.3020443150301286,0.073799254485103,0.0695870142092127,0.2045454545454541,0.4350820336236582,0.0677200902934537,0.0915221315022731,-0.492285727652066,-1.1168018712379597,-1.2325004581613797,-1.0838434776684889,-0.7431097922363975,-1.1447474401067084,-0.8433324499479788,Low,Low,Low,Train,500.0
2004-07-01,1748.26186363636,58.46,42.72045,21.8,48.09,0.7,210254.0,0.278387505135664,0.0552137217675219,0.0717830342771973,0.1136363636363633,0.3769495645128622,0.0677200902934537,0.0915221315022731,-0.563955166443891,-1.2425276450549851,-1.2179825000034783,-1.5297036369574353,-1.0080842855216825,-1.1447474401067084,-0.8433324499479788,Low,Low,Low,Train,450.0
2004-08-01,1731.52318181818,56.98,87.00253,21.8,42.79,0.7,210254.0,0.2727629456857694,0.050487503825594,0.1620430505501019,0.1136363636363633,0.2695969212072109,0.0677200902934537,0.0915221315022731,-0.5809950387269046,-1.2744991476751222,-0.6212706763341773,-1.5297036369574353,-1.497410004829003,-1.1447474401067084,-0.8433324499479788,Low,Low,Low,Train,430.0
2004-09-01,1721.1659,61.47,159.0972,22.4,52.75,0.7,210254.0,0.2692826747804226,0.0648258271764427,0.3089933764469361,0.25,0.4713388697589631,0.0677200902934537,0.0915221315022731,-0.5915386861477717,-1.1775045214829496,0.35022257810501,-0.8609133980240152,-0.5778469549609062,-1.1447474401067084,-0.8433324499479788,High,Low,Low,Train,425.0
2004-10-01,1735.43666666667,61.1,159.7481,22.4,57.01,0.7,210254.0,0.2740779613139824,0.0636442726909607,0.310320103750442,0.25,0.557626088717845,0.0677200902934537,0.0915221315022731,-0.5770111358889076,-1.185497397137984,0.358993614289994,-0.8609133980240152,-0.1845398673667202,-1.1447474401067084,-0.8433324499479788,High,Low,Low,Train,375.0
2004-11-01,1730.88522727273,67.74,224.8978,22.6,66.35,0.7,210254.0,0.2725485791480581,0.08484838561961,0.4431145204123253,0.2954545454545458,0.7468098035244077,0.0677200902934537,0.0915221315022731,-0.5816444724215598,-1.042057682680072,1.2369017048428286,-0.6379833183795379,0.6777813059031617,-1.1447474401067084,-0.8433324499479788,High,Low,Low,Train,375.0
2004-12-01,1739.13921052632,77.72,170.5561,22.9,61.94,0.7,210254.0,0.2753220962034949,0.1167184228226099,0.3323500141764552,0.3636363636363633,0.6574843022078187,0.0677200902934537,0.0915221315022731,-0.5732419696441575,-0.8264660636604991,0.5046340492067324,-0.3035881989128299,0.2706253771965045,-1.1447474401067084,-0.8433324499479788,High,Medium,Low,Train,475.0
2005-01-01,1732.00578947368,79.35,40.2355,23.2,59.3,0.89,208741.0,0.2729251123055078,0.1219236493397331,0.066717968963252,0.4318181818181816,0.6040105327121734,0.1106094808126411,0.0893322120791497,-0.5805037471842462,-0.7912542060450781,-1.2514678070673524,0.030806920553882,0.0268857736170088,-0.8818452582472334,-0.8565130985801358,Low,Medium,Low,Train,450.0
2005-02-01,1711.0665,89.4,41.94835,23.8,68.69,0.89,208741.0,0.26588905774861,0.1540172238778243,0.0702092654171007,0.5681818181818183,0.7942070083046386,0.1106094808126411,0.0893322120791497,-0.6018198115078439,-0.5741504213610392,-1.2283867357361962,0.699597159487306,0.893823227257715,-0.8818452582472334,-0.8565130985801358,Low,High,Low,Train,525.0
2005-03-01,1711.23,101.44,146.2406,24.2,68.01,0.89,208741.0,0.2659439972880582,0.1924656455135076,0.2827878114596043,0.6590909090909092,0.7804334616163666,0.1106094808126411,0.0893322120791497,-0.6016533695413536,-0.3140579270728976,0.1769767587535539,1.145457318776253,0.8310418142145122,-0.8818452582472334,-0.8565130985801358,Medium,High,Low,Train,620.0
2005-04-01,1777.68,98.2,196.1309,24.0,66.49,0.89,208741.0,0.288272635797667,0.1821190602892871,0.3844790438917776,0.6136363636363642,0.7496455337249344,0.1106094808126411,0.0893322120791497,-0.5340076895824655,-0.3840495949710353,0.8492607141686684,0.9225272391317796,0.6907068909414683,-0.8818452582472334,-0.8565130985801358,High,High,Low,Train,675.0
2005-05-01,1775.623,99.78,216.7901,23.7,62.3,0.89,208741.0,0.2875814392677308,0.1871646172813452,0.4265886224884738,0.545454545454545,0.6647761798663157,0.1106094808126411,0.0893322120791497,-0.5361017025798385,-0.3499178556873755,1.1276484707408263,0.5881321196650674,0.3038625958664357,-0.8818452582472334,-0.8565130985801358,High,High,Low,Train,850.0
2005-06-01,1738.31875,96.29,27.52917,22.1,51.4,0.89,208741.0,0.2750464037053217,0.1760196844317992,0.0408186988167526,0.1818181818181825,0.4439943285395991,0.1106094808126411,0.0893322120791497,-0.5740771932736889,-0.4253101152443201,-1.4226887015340068,-1.1953085174907232,-0.7024865249731485,-0.8818452582472334,-0.8565130985801358,Low,Low,Low,Train,850.0
2005-07-01,1752.12225,88.48,117.925,22.5,51.33,0.89,208741.0,0.2796846785234915,0.1510793046166259,0.2250722182269229,0.2727272727272725,0.4425764634393356,0.1106094808126411,0.0893322120791497,-0.5600253175278271,-0.5940245986654488,-0.2045828543967422,-0.7494483582017766,-0.7089493174923017,-0.8818452582472334,-0.8565130985801358,Medium,Low,Low,Train,850.0
2005-08-01,1814.85977272727,85.31,136.8899,22.9,54.79,0.89,208741.0,0.3007658443017548,0.1409562567274966,0.2637283107730276,0.3636363636363633,0.5126595098237798,0.1106094808126411,0.0893322120791497,-0.4961589159654137,-0.6625041008991207,0.0509737966166234,-0.3035881989128299,-0.389502715831296,-0.8818452582472334,-0.8565130985801358,Medium,Medium,Low,Train,650.0
2005-09-01,1847.60681818182,78.79,124.7696,22.2,56.92,0.89,208741.0,0.3117695604825279,0.1201353506590037,0.2390235436249513,0.2045454545454541,0.5558031193032207,0.1106094808126411,0.0893322120791497,-0.4628226306920103,-0.8033515313608054,-0.1123502007299113,-1.0838434776684889,-0.1928491720342027,-0.8818452582472334,-0.8565130985801358,Medium,Low,Low,Train,600.0
2005-10-01,1856.8035,82.55,145.2473,22.6,65.73,0.89,208741.0,0.3148598446632057,0.1321424989439015,0.2807631713757628,0.2954545454545458,0.7342515697792185,0.1106094808126411,0.0893322120791497,-0.4534604667348045,-0.7221266328123493,0.1635917990937836,-0.6379833183795379,0.6205394293049478,-0.8818452582472334,-0.8565130985801358,Medium,Low,Low,Train,775.0
2005-11-01,1834.53547619048,85.93,130.8778,23.9,68.28,0.89,208741.0,0.3073773066050245,0.1429361588383043,0.251473867354057,0.5909090909090908,0.7859023698602392,0.1106094808126411,0.0893322120791497,-0.4761291742131444,-0.6491106335852794,-0.0300407165923813,0.8110621993095408,0.8559697282169603,-0.8818452582472334,-0.8565130985801358,Medium,High,Low,Train,975.0
